
% frame   1000
% time 100.000
% report fiber:end
%    class  identity    length    stateM     posMX     posMY     dirMX     dirMY    stateP     posPX     posPY     dirPX     dirPY
         1       166     0.250         0     0.599     0.065    -0.419    -0.908         0     0.494    -0.162    -0.420    -0.908
         1       167     0.250         0     0.746    -1.384    -0.157    -0.988         0     0.706    -1.631    -0.163    -0.987
         1       168     0.250         0     0.317     0.380    -0.896    -0.443         0     0.093     0.269    -0.896    -0.444
         1       169     0.250         0     2.377    -0.895    -1.000     0.025         0     2.127    -0.888    -1.000     0.026
         1       170     0.250         0    -2.369     1.664    -0.427    -0.904         0    -2.476     1.438    -0.429    -0.903
         1       171     0.250         0    -1.907    -0.682    -0.846     0.533         0    -2.118    -0.548    -0.843     0.539
         1       172     0.250         0     2.493    -0.415     0.022    -1.000         0     2.499    -0.665     0.027    -1.000
         1       173     0.250         0     2.014    -2.280    -0.809    -0.588         0     1.812    -2.427    -0.809    -0.588
         1       174     0.250         0     0.167    -0.342    -0.933     0.360         0    -0.066    -0.252    -0.934     0.357
         1       175     0.250         0    -1.841     0.213     0.259    -0.966         0    -1.776    -0.028     0.264    -0.965
         1       176     0.250         0    -2.471     0.245    -0.003    -1.000         0    -2.471    -0.005    -0.000    -1.000
         1       177     0.250         0    -2.243    -0.448     0.799    -0.601         0    -2.044    -0.598     0.799    -0.602
         1       178     0.250         0    -1.399    -2.508     0.856    -0.517         0    -1.185    -2.637     0.855    -0.518
         1       179     0.250         0    -2.486    -2.470     0.028     1.000         0    -2.478    -2.220     0.034     0.999
         1       180     0.250         0     0.862     1.609    -0.861     0.508         0     0.647     1.736    -0.861     0.509
         1       181     0.250         0     2.309    -0.278     0.702    -0.712         0     2.485    -0.456     0.703    -0.711
         1       182     0.250         0    -1.836    -0.706    -0.894     0.447         0    -2.059    -0.594    -0.894     0.448
         1       183     0.250         0    -1.401    -0.230     0.350     0.937         0    -1.313     0.004     0.353     0.936
         1       184     0.250         0    -2.382    -0.129     0.123    -0.992         0    -2.351    -0.377     0.124    -0.992
         1       185     0.250         0     1.388     1.160    -0.020     1.000         0     1.383     1.410    -0.020     1.000
         1       186     0.250         0    -2.216     0.605    -0.308    -0.951         0    -2.293     0.367    -0.308    -0.951
         1       187     0.250         0     1.629    -1.547    -0.581    -0.814         0     1.484    -1.750    -0.581    -0.814
         1       188     0.250         0     1.964     0.329     0.721     0.693         0     2.145     0.502     0.722     0.692
         1       189     0.250         0    -2.043    -1.513    -0.657     0.754         0    -2.207    -1.324    -0.657     0.754
         1       190     0.250         0    -1.892     2.153    -0.677     0.736         0    -2.061     2.337    -0.677     0.736
         1       191     0.250         0    -1.809    -0.766     0.628    -0.778         0    -1.652    -0.961     0.627    -0.779
         1       192     0.250         0     0.632     1.574     0.707    -0.707         0     0.809     1.397     0.710    -0.704
         1       193     0.250         0     0.288    -1.744     0.445    -0.896         0     0.400    -1.967     0.447    -0.894
         1       194     0.250         0    -2.344    -0.300     0.570    -0.822         0    -2.201    -0.506     0.569    -0.823
         1       195     0.250         0    -1.980    -0.638    -0.817     0.576         0    -2.184    -0.494    -0.814     0.580
         1       196     0.250         0    -2.462    -0.151     0.586    -0.810         0    -2.315    -0.354     0.585    -0.811
         1       197     0.250         0    -2.079    -0.569    -0.815     0.579         0    -2.283    -0.424    -0.814     0.581
         1       198     0.250         0    -2.227    -0.463     0.814    -0.580         0    -2.024    -0.609     0.813    -0.583
         1       199     0.250         0     1.779    -0.923     0.874     0.486         0     1.998    -0.801     0.874     0.485
         1       200     0.250         0    -2.392    -0.321     0.766    -0.643         0    -2.201    -0.482     0.764    -0.645
% end
